title,description,cuisine,rating,ingredient_list,servings,prep_time,cook_time,rest_time,ready_time,source,steps,recipe_url,image_url
Ruam Mit,"Ruam mit is an affordable and refreshing dessert that has no set list of ingredients, which means that recipes can vary a lot. However, typically, it is composed of various Thai desserts, most notably, the fried cookie krong-krang and thapthim krop, which are cubes of water chestnut colored with red food coloring and soaked in sugar syrup, along with a plethora of other ingredients such as jackfruit, coconut milk, sugar, taro, sweet potato, corn, tapioca balls, lotus root, and many others, depending on the recipe. Preparing all the components takes time, but the dessert is actually quite simple to put together. First, coconut milk is prepared by boiling it with sugar and infusing it, usually, with pandan leaves, while other desserts, such as the before mentioned, if they are a part of the recipe, are prepared next. Once the coconut milk has cooled to room temperature, all the ingredients are mixed together. Ruam mit is typically served in a bowl, topped with shredded ice.","Thailand, Asia",5,"['50g tapioca flour', '50 ml boiling water', '2 to 3 drops of blue food coloring', '50g tapioca flour', '50 ml boiling water', '2 to 3 drops of yellow food coloring', '50g tapioca flour, for coating', '150g steamed sweet potato, cut into small cubes', '150g steamed taro, cut into small cubes', '50ml water', '1 tsp green food coloring', '150g tapioca flour, for coating', '150g jackfruit, cut into strips', '1 pandan leaf', '300g sugar', '1 tsp salt', '1 cup coconut milk']",6,40min,15min,-,55min,TasteAtlas,"['Heat sugar, coconut milk, salt, and the pandan leaf in a medium saucepan over medium-low heat, constantly stirring until it boils. Turn off the heat and let the milk come to room temperature.', 'Meanwhile, mix 50 ml of water, taro cubes, and green food coloring in a large bowl then wait for 10 minutes before draining the water. Mix the taro cubes with 75 grams of tapioca flour and separately, mix the sweet potato cubes with 75 grams of tapioca flour.', 'Boil water in a large pot, then add the cubes of taro and sweet potato. With a turner, gently stir them occasionally so they do not stick to the bottom. Once the cubes have come to the surface, remove them from boiling water and put them in fresh water.', 'Mix all the ingredients for the blue dough then knead for five minutes until you get a smooth and elastic dough. Now, do the same to get the yellow dough.', 'Now, divide the blue dough into equal portions, and out of one half, make 1 cm thick balls that are then to be rolled over a fork, and thin, 5 inch long strips out of the other half.', 'Shape the yellow dough into thin strips that are 5 inches long.', 'Then, first, boil the smaller bits of blue dough and take them out of the water once they have come to the surface. And the same way, cook the strips of blue and yellow dough.', 'Once everything has cooled, mix them together, add the jackfruit, and serve in bowls, topped with crushed ice.']",https://www.tasteatlas.com/ruam-mit/recipe,-
Champagne Cocktail,-,"United States Of America, North America",4,"['9 cl (90 ml) (3 oz) Champagne', '1 cl (10 ml) (1/3 oz) Cognac', '2 dashes Angostura bitters', '1 sugar cube', 'cocktail cherry, optional', 'orange peel, optional']",1,5min,-,-,5min,TasteAtlas,"['Saturate the sugar cube with two dashes of Angostura bitters, then put it into a champagne flute.', 'First pour in the Cognac, then the Champgane.', 'Garnish with a cocktail cherry and an orange peel, if desired.']",https://www.tasteatlas.com/champagne-cocktail/recipe,-
Basic Chiffon Cake,"Marketed under an intriguing slogan ""the first really new cake in a hundred years"", chiffon cake is somewhere between a butter cake and a sponge cake. Like the butter cake, it contains fat, but its airlight texture is achieved by gently adding whipped egg whites, the procedure was borrowed from the sponge cake recipe. The secret? Instead of butter, margarine or lard, commonly used in butter cakes, chiffon cake uses vegetable oil. The procedure is simple: dry ingredients — flour, sugar, baking powder and salt — are sifted and combined, which is followed by adding the wet ingredients — water, vegetable oil, vanilla extract, egg yolks and, optionally, grated lemon zest. All the ingredients are then mixed until the batter is completely smooth. Egg whites and cream of tartar are whipped or mixed in another bowl until stiff peaks are formed, and then the two mixtures are gently combined, so they retain an airy texture. Depending on the recipe, additional ingredients such as spices, fruit, fruit juice and chocolate can be added to the batter. Chiffon cake is most commonly baked in a tube pan or an oblong bread pan, and it is usually sprinkled with powdered sugar or covered with glaze before serving.","California, United States Of America",4.2,"['2 1/4 cups flour', '1 1/2 cups sugar', '3 tsp baking powder', '1 tsp salt', '1/2 cup vegetable oil', '5 medium-sized egg yolks, unbeaten', '3/4 cup cold water', '2 tsp vanilla', 'grated rind 1 lemon (optional)', '7-8 egg whites', '1/2 tsp cream of tartar']",16,10min,1h 10min,-,1h 20min,TasteAtlas,"['Sift the dry ingredients – flour, sugar, baking powder and salt – into a mixing bowl, and make a well in the center.', 'One by one, add the wet ingredients – oil, egg yolks, water, vanilla and lemon rind. Mix with wooden spoon until the batter is completely smooth.', 'In another bowl, whip the egg whites and cream of tartar until stiff peaks are formed.', 'Gently fold the whipped egg whites into the batter until blended with a rubber scraper or a heavy spoon.', 'Transfer the mixture into an ungreased baking pan. If you use a 10-inch long and 4-inch deep tube, bake for 55 minutes at 325˚F. Increase the temperature to 350 ˚F and bake for 10-15 more minutes. If you prepare the chiffon cake in a 2-inch deep, 9 per 13-inch oblong pan, bake for 45-50 minutes on 350 ˚F. When the cake becomes spongy, it is done.', 'Turn the pan upside down, leave the cake to cool and gently remove from pan.']",https://www.tasteatlas.com/chiffon-cake/recipe,https://www.tasteatlas.com/images/recipes/fe7df2aca2354f279605dbc3a417588b.jpg?mw=910
Cherry Bakewell,"Unlike the more famous Bakewell tart, cherry Bakewell, a take on the Bakewell tart, is usually baked as individual tarts, although recipes that make one large cherry Bakewell are not an uncommon find. The cherry Bakewell consists of shortcrust pastry, jam, either raspberry or cherry, frangipane, icing, and one-half of a glacé cherry. Typically, the icing is almond-flavored, but that’s not always the case.","Bakewell, England",4.4,"['200g (7 oz) all-purpose flour', ""30g (1 oz) confectioners' sugar"", '100g (3.5 oz) chopped, cold & unsalted butter', '1 egg yolk', '1 tsp cider vinegar (or lemon juice)', '2-4 tsp cold water', 'egg wash (1 egg + 1 tbsp milk)', 'raspberry jam (or any flavor!)', '100g (3.5 oz) caster sugar', '100g (3.5 oz) butter, soft, unsalted', '2 eggs', '1/4 tsp almond extract', '50g (1.75 oz) plain flour', '85g (3 oz) ground almond', ""300g cofectioners' sugar"", 'cold water', 'red food paste coloring', 'glace cherries']",6,1h 30min,42min,2h,4h 12min,TasteAtlas,"['Add the flour and the butter to a food processor, and pulse until it combines into a mixture resembling breadcrumbs. Whisk the egg yolk, and add it to the food processor. Next, add the cider vinegar and two teaspoons and pulse until it hopefully comes together. It should clump together when you grab a piece of the mixture and press it. Turn onto a working surface and knead for a few seconds, so it comes together into a smooth dough.', 'Divide into six pieces, 60g/2 oz each, then shape into rounds. Wrap in cling film and refrigerate for an hour. Alternatively, you can do the pastry the day before and refrigerate it overnight. If they get too hard from being in the fridge, let them warm up at room temperature. You should be able to press on them a bit, or it will be too hard to roll them out.', 'Lightly flour your working surface and your rolling pin. Place one round of pastry onto the floured surface and roll out, trying to keep it as round as possible. So, roll it forwards and back one time, then turn it vertically, and roll forwards and back once. Repeat until you get a perfect circle of pastry about 3mm/1/8” thick.', 'Cut out into a perfectly round shape using a 13.5cm/5.3” ring cutter. Alternatively, you can do it with a knife. Set aside the remaining dough, as you might need it later.', 'Carefully place the circle of pastry on top of a 10x3cm (4” x 1.2”) fluted cake tin, then snuggle the pastry into the tin and gently and carefully press it into the bottom and the sides. Remember, also push the pastry into the corners of the tin using your fingertip. However, make sure that you leave an extra rim of dough at the top of the tin so that as the pastry shell bakes, it shrinks to the appropriate size, meaning it will not be smaller than the tin it bakes in. If you end up tearing the pastry, patch it up with some of the leftover dough. Finally, prick the bottom of the pastry case with a fork. Repeat the same process with the remaining five pieces of dough.', 'Arrange the cake tins lined with shortcrust pastry on a large baking tray and refrigerate for 1 hour.', 'After 1 hour, take the cake tins out of the refrigerator. Make six circles of parchment paper about the same size as the circles of pastry, then squish them in your hands, straighten them, and line each cake tin with one piece of parchment paper, then fill with rice.', 'Bake in a 180°C/350°F fan-assisted oven for 11 minutes.', 'Take the tray out of the oven, carefully grab the sides of parchment paper, and lift the bundle of rice out of each pastry shell.', 'Take the tray out of the oven, carefully grab the sides of parchment paper, and lift the bundle of rice out of each pastry shell.', 'Bake the pastry shells for 5-6 minutes more until golden.', 'Take out of the oven and let them cool.', 'Cream butter and sugar in a large bowl until pale and fluffy. Whisk the eggs and the almond extract. With the mixer beating the butter and sugar, add the whisked eggs in batches. Once the eggs are incorporated, add the ground almonds and the flour, and mix at low speed to combine.', 'Using a small serrated knife, cut off the excess pastry on top of each cake tin to make it level with the tin. Then, hold the pastry case inside the cake tin, so it doesn’t fall out, and turn it over to remove any crumbs and pieces of pastry.', 'Spread the bottom of each pastry shell with 1 teaspoon of raspberry jam.', 'Transfer the frangipane into a piping bag fitted with a small, round tip. If you are to do it with a makeshift piping bag and do not have a nozzle, cut about a 1cm/0.4” tip at the end. Pipe the frangipane on top of the jam, taking care not to disturb it. The tartlets should be about half full — the filling will puff up a bit during baking, and you also need to add the icing, which is why you need to leave a bit of space.', 'Arrange the tarts on a baking tray and place the tray in a 160°C/320°F fan-assisted oven. Bake for 25-26 minutes.', 'Let them cool a bit out of the oven, then take them out of the cake tins.', ""To a large bowl of confectioners' sugar, add water, a bit at a time, stirring and checking the consistency. Aim for a thick but runny consistency. The icing should be lump-free and smooth as well."", 'Put about three tablespoons of the icing into a separate container and add a bit of the red food coloring gel. Mix until blended and raspberry color.', 'Make a small piping bag, or use one if you have it, then add the pink icing to that piping bag.', 'Put a tablespoon of the white icing on top of each tart, then spread it with the back of a teaspoon. Cut the smallest piece off of the top of the piping bag. Pipe parallel pink stripes across each tart. Run a toothpick through the icing perpendicularly to the pink lines to get a feathered effect — run the toothpick in opposite directions.', 'Once all the tarts are iced, place half a cherry in the center and on top of each.']",https://www.tasteatlas.com/cherry-bakewell/recipe,-
Kadınbudu Köfte,-,"İzmir, Turkiye",4.5,"['350 ml (1 ½ cups) olive oil', '1 large onion, finely chopped', '2 cloves garlic, finely chopped', '500g (1.1 lbs) ground veal', '1 tsp salt', '½ tsp allspice', '½ tsp dried mint', '½ tsp cumin', '¼ tsp black pepper', '¼ tsp red pepper flakes', '25g (1 oz) currants', '100g (3.5 oz) white rice', '1 tsp parsley, finely chopped', '200g (7 oz) all-purpose flour', '2 eggs, beaten']",6,45min,1h,2h 30min,4h 15min,TasteAtlas,"['Sauté the onions and garlic in 1 tablespoon olive oil in a saucepan.', 'Add half of the minced meat and continue to sauté over medium heat until the juice of the minced meat evaporates.', 'When cooked, add salt, allspice, dried mint, cumin, black pepper, red pepper flakes, and currants to the hot minced meat. Leave to cool.', 'In a separate bowl, rinse the rice in plenty of water and drain. Add enough water to cover and cook over medium heat for 8 minutes.', 'When the rice has absorbed all the water, leave it to cool.', 'Add the rice, the remaining raw minced meat, the parsley, and the spice mixture to the cooked minced meat.', 'Thoroughly mix all the ingredients and leave for 1 hour.', 'Divide the meatball mixture into 50g (1.75 oz) pieces and shape into balls. Leave to rest for 30 minutes.', 'First, dip the meatballs in flour, then coat with the beaten egg yolks.', 'Fry the meatballs for 4-6 minutes in a frying pan with olive oil heated to 180°C (350°F), and serve.']",https://www.tasteatlas.com/kadnbudu-kofte/recipe,-
Lamb Mulligatawny,"Derived from Tamil words miḷaku-taṇṇīr, which stands for pepper-water, this hot and spicy soup is a beautiful evidence how two different cultures — in this case, Indian and British — can intertwine to create an exceptional dish. Originated in India and perfected by the British, mulligatawny started as a modest, vegetable-based and abundantly spiced broth intended to be served with rice. Nowadays, the base for mulligatawny is chicken, veal, or even mutton stock with curry as a predominant spice, garnished by pieces of meat, onion, celery, apples, almonds, lentils, chickpeas, and cream — the latter can be substituted with coconut milk or yogurt for a fresher taste. The best thing about mulligatawny is its versatility – it can be as spicy and as dense as you like, and it can serve both as an appetizer and as a full meal.","England, Europe",3.4,"['4 cloves garlic, peeled and chopped', 'a piece of fresh ginger, about ½-inch cube, peeled and chopped', '1/2 lb (225g) boneless lamb (from shoulder or leg), with fat removed and cut into ¾-inch cubes', '2 tbsp vegetable oil', '1 tbsp white poppy seeds, roasted and ground', '1/2 tsp ground coriander', '1/2 tsp cumin', '1/4 tsp turmeric', '1/8 tsp salt (more if broth is unsalted)', '1/8 tsp cayenne pepper (optional)', '1/8 tsp freshly ground black pepper', '2 tbsp chickpea flour', '2 cups (500 ml) chicken broth (canned or homemade)', '1 tbsp lemon juice', '2-3 tbsp cooked rice, or 1-1.5 tbsp uncooked rice (optional)']",2,30min,45min,-,1h 15min,TasteAtlas,"['First, using an electric blender, make a paste by blending together garlic and ginger with three tablespoons of water at high speed.', 'Pat dry the lamb meat, then, on previously heated oil, fry it over medium heat. Once the meat has browned on all sides, remove it from the pot with a slotted spoon.', 'Turn off the heat and add to that same pot the ginger and garlic paste, poppy seeds, coriander, cumin, and turmeric, then set the heat to medium and fry the added ingredients while constantly stirring for approximately a minute.', 'Next, turn the heat to low and add the previously browned meat, as well as any juice that might have been released from the meat, followed by salt, cayenne, and black pepper. Stir everything and leave to cook on low heat.', 'Proceed to make a paste out of chickpea flour and 1/4 cup (60 ml) of water, then slowly, while stirring, add to it chicken broth. Pour the resulting mixture into the pot, turn the heat on high, and bring the soup to a boil. Also at this point, you may add the uncooked rice.', 'Cover the pot with a lid and lower the heat, leaving the soup to simmer for half an hour or until the meat turns tender.', 'In the end, stir in the lemon juice, and if opting for cooked rice, add it to the soup five minutes prior to serving.', 'The finished soup can be served in a tureen or individual bowls, either as a main course or a light dinner.']",https://www.tasteatlas.com/mulligatawny/recipe,https://www.tasteatlas.com/images/recipes/c4691d40131441e59effd4d8231637f7.jpg?mw=910
Traditional Far Breton (Farz Fourn),"Far Breton is the most representative dessert of its native region of Brittany, where it is also known as farz fourn. This custard specialty is based on a flan-style batter consisting of eggs, milk sugar, and flour. Dried and pitted prunes that have previously been soaked in brandy or rum (preferably Armagnac) are traditionally added to the batter. A dense, smooth texture that distinguishes far Breton from similar custards such as clafoutisRead more","Brittany, France",4.1,"['50g (1.75 oz) butter, semi-salted', '4 eggs', '100g (3.5 oz) powdered sugar', '120g (4.25 oz) flour', '1 L (4 ¼ cups) milk', '15 ml (1 tbsp) rum']",6,20min,50min,5min,1h 15min,TasteAtlas,"['Preheat the oven to 180°C (around 350°F).', 'Melt the butter in a saucepan over medium-low heat. Once it turns golden brown, set it aside.', 'Warm the milk in a pot.', 'Add the eggs and the sugar into a bowl. Whisk them until the mixture is pale yellow and gains in volume.', 'Add the flour to the mix, and continue mixing thoroughly with a whisk. Make sure to avoid creating any lumps.', 'Pour the warm milk into the bowl, and gradually add some rum. Stir the whole mixture thoroughly.', 'Coat the bottom of an oven-proof dish or a cake pan with butter, and pour the batter into it. Let it cook in an oven for 50 minutes, until golden brown and risen.', 'Let it cool down a couple of minutes, then serve.']",https://www.tasteatlas.com/far-breton/recipe,-
Pappa Al Pomodoro,-,"Tuscany, Italy",4,"['600 g ripe or tinned tomatoes (traditionally, costoluto fiorentino variety)', '400 g dried Tuscan bread (or country-style bread)', '2 or 3 gloves of garlic', '5 or 6 leaves of basil', '1 chilli pepper, optional', '2 tbps extra-virgin olive oil', 'salt and pepper']",6,5min,10min,-,15min,TasteAtlas,"['Chop the tomatoes and place them in a saucepan with the garlic, oil, basil, and chili. Bring to the boil and add approximately 1 liter of water and the bread cut into small pieces.', 'Salt and pepper to taste and cook often stirring until the bread turns into mush and there are no chunks. Serve hot with a drop or two of olive oil.']",https://www.tasteatlas.com/pappa-al-pomodoro/recipe,-
Traditional Salzburger Nockerl,"Akin to a soufflé, the Salzburger nockerl is a light and airy dessert consisting of three vanilla-flavored dumplings that are shaped in such a way as to resemble the local mountains around Salzburg. The ingredients needed to make the Salzburger nockerl are just eggs, sugar, vanilla sugar, and flour. The egg whites and sugar are whipped into a snow, and yolks, vanilla sugar, and flour and then stirred into the glossy meringue until just combined. When done, it is dusted with confectioners' sugar and served in a baking dish or on a silver platter. The Salzburger nockerl is a dessert but can be served as a main course as well.","Salzburg, Austria",4.1,"['6 egg whites', '3 egg yolks', '3 tbsp sugar', '1 packet (7g/1.5 tsp) vanilla sugar', '3 tsp flour', 'butter, for coating', 'powdered sugar, for sprinkling', '200g (7 oz) raspberry or cranberry sauce, for serving']",2,25min,9min,-,34min,TasteAtlas,"['Add the egg whites to a grease-free bowl, then beat with a mixer until stiff. Then, add the sugar and beat until blended.', 'Whisk the egg yolks a bit to break them apart, then pour them over the whites. Next, add the flour and the vanilla sugar. Mix everything carefully so you do not deflate the meringue.', 'Set the oven to preheat to 220°C/430° and butter the casserole dish.', 'With the help of a scraper scoop out a third of the batter then place it into the casserole dish in such a way that it resembles a mound. Repeat this with the remaining batter — you should end up with three mounds.', ""Bake for 9 minutes. Take care that the nockerl doesn't dry out — it should remain moist inside."", 'When done, sprinkle with powdered sugar.', ""Serve immediately so it doesn't deflate, with a side of raspberry or cranberry sauce.""]",https://www.tasteatlas.com/salzburger-nockerl/recipe,-
Academia Barilla'S Cocoa Bonèt,"Bonèt is a creamy, amaretti-based dessert that is coated in a thin layer of caramel. This pudding-like dessert hails from Piedmont, though it is mainly associated with Langhe and Monferrato. Although it is generally known as a cocoa dessert, the original version was a light-colored dessert that did not include cocoa. This first variation (alla monferrina) appeared in the 13th century as an oven-baked custard made with amaretti cookies, eggs, milk, and sugar. With the introduction of cocoa, the recipe was adapted, and bonèt is now predominantly made with a mixture of eggs, milk, sugar, cocoa, rum, and amaretti cookies. It is traditionally baked in caramel-coated ramekins and should always be served well-chilled.","Piedmont, Italy",4.1,"['500 ml (2 1/4 cups/17 oz) milk', '3 eggs, plus one egg yolk', '150g (3/4 cup) caster sugar', '120g (1 ¼ cup) amaretti cookies', '35g (4 tbsp) cocoa powder, sifted', '5 ml (1 tsp) rum', 'for the caramel', '100g (3.5 oz) water', '300g (1 1/2 cup) sugar']",6,15min,45min,-,1h,TasteAtlas,"['Preheat the oven to 150°C (300°F).', 'FOR THE CARAMEL: Put sugar and water in a heavy bottom saucepan on medium heat. Heat the mixture and let the sugar caramelize. Take off the heat when the caramel turns brown.', 'Pour the caramel into baking tins. Swirl the tins so the caramel coats the bottom and the sides.', 'Pour the milk in a large saucepan over medium-high heat. Heat the milk until it reaches boiling point, but make sure it does not boil.', 'In a large bowl, mix the eggs with the sugar.', 'Sift the cocoa and add it to the egg mixture. Add the rum.', 'Crush or blend the cookies into crumbs and add them to the egg mixture.', 'Slowly add the scalded milk to the mixture. Make sure to constantly whisk the mixture but do not add too much air.', 'As soon as the ingredients are well incorporated, pour the custard mix into the tins.', 'Place the tins into a large pan and fill the pan with hot water. The tins should be immersed halfway through.', 'Bake the puddings for approximately 40 to 50 minutes.', 'Leave the puddings for at least two hours to set and chill.', 'When the puddings are thoroughly chilled, gently remove them from the molds and serve.']",https://www.tasteatlas.com/bonet/recipe,-
Kusa Mochi,-,"Japan, Asia",4.2,"['125 g mochi flour', '100 g red adzuki bean paste', '10 g Japanese custard sugar, sifted', '2 tbsp dried yomogi (Japanese mugwort)', '140 ml lukewarm water (50 °C)', '10 g kinako (soy bean powder)', 'potato starch, as needed', 'canola oil, as needed']",6,25min,5min,-,30min,TasteAtlas,"['Brush a 30cm square of baking paper with canola oil.', 'Divide the red bean paste into six pieces and roll them into balls.', 'Steep the dried yomogi in warm water, then drain and mash it with a fork.', 'Add the mochi flour, the mashed yomogi, the custard sugar, and the water in a microwave-safe glass bowl, and then whisk until lump-free and smooth.', 'Loosely cover the bowl with plastic foil, then microwave for a minute on medium.', 'Then, take the bowl out and remove the plastic and stir the mochi with a wet spatula.', 'Cover the bowl with plastic film again and microwave for a minute and a half, then stir the mochi with a wet spatula.', 'Repeat this process of microwaving and stirring until the mochi looks smooth and elastic.', 'Place the mochi on a baking paper brushed with canola oil, then use the paper to shape the mochi into a ball.', 'Lightly sprinkle the working surface with potato starch and transfer the mochi ball onto the working surface, then roll it into a log and cut it in six pieces.', 'Flatten each piece and envelop it around a ball of red bean paste, so you end up with six mochi balls.', 'Dust the mochi balls with soybean flour and serve.']",https://www.tasteatlas.com/kusa-mochi/recipe,https://www.tasteatlas.com/images/recipes/add017cfc98046ed875b125842f76d71.jpg?mw=910
Pastel De Santa Clara,"A dough made with flour, butter, eggs, water, and sugar is stretched until paper-thin, then cut into squares and a dollop of the filling made with sugar syrup, ground almonds, and egg yolks is put onto each. The circles are then folded in half, resembling half-moons, and baked until golden. While still hot, the pastries should be rolled in powdered sugar and can then be served. However, pastel de Santa Clara cookies can have other shapes as well. One popular way of making them is to put circles of dough in a cupcake thin, add the filling, and then top it with another piece of dough, or leave them open-faced. In Brazil, on the other hand, it is more common to see these pastries shaped like rectangles.","Coimbra, Portugal",4.9,"['½ cup (1 stick) butter, chilled', '1 ¾ cups flour', '2 tbsp ice water', '1 egg, slightly beaten', '½ cup sugar', '1 tbsp water', '½ cup almonds, ground', '4 egg yolks']",24,40min,40min,-,1h 20min,TasteAtlas,"['Rub butter and water into the flour, then knead until you get a smooth dough.', 'Place in a bowl and cover with a plastic wrap and refrigerate.', 'Add sugar and water to a saucepan, then bring to a boil without stirring, until syrupy.', ""Then, add the almonds and the yolks you've previously whisked and stir until you get a thick paste."", 'Roll out the dough very thin, about 1/8-inch in thickness.', 'Cut out circles in the dough with a 3-inch cutter.', 'Place a teaspoon of the almond filling in the center of each circle, then fold, and seal with water.', 'Brush the pastries with an egg wash, then bake in a 400°F oven for 20 minutes until golden.', 'Take out of the oven and while still hot roll in powdered sugar.']",https://www.tasteatlas.com/pastel-de-santa-clara/recipe,-
Grasshopper Pie,"A remnant of a bygone era, the grasshopper pie is the epitome of the 1960s. This no-bake dessert consists of a cookie crumb crust and an airy filling flavored with crème de menthe and white crème de cacao. The crust is made with either wafer cookies, graham crackers, or Oreos, which are crumbled and combined with melted butter to make a workable mass that can be pressed into a pie mold. The crust is often baked briefly to help it set, and it can be enriched with ingredients like chocolate, coconut, and a touch of sugar. The filling is predominantly made from eggs and heavy cream, but some recipes use marshmallows instead of eggs. The standard mint and chocolate liqueur flavorings can be replaced with more affordable food coloring or with actual mint, which can be used to infuse the heavy cream with flavor. Once assembled, the pie is chilled for a few hours, and it can be decorated with chocolate shavings, a dusting of cocoa, or coated with chocolate fudge.","United States Of America, North America",4.3,"['1 ¼ cups (140g) chocolate wafer crumbs', '1/4 cup (50g) sugar', '1/3 cup (75g) melted butter', '1 envelope gelatin', '1/2 cup (100g) sugar', '1/8 tsp salt', '1/2 cup (120 ml) cold water', '3 eggs, separated', '1/4 cup (60 ml) green crème de menthe', '2 tbsp cognac or crème de cacao', '1 cup (240 ml) heavy cream, whipped']",6,30min,5min,3h,3h 35min,TasteAtlas,"['Prepare a 9-inch (23 cm) pie pan and preheat the oven to 450°F/230°C.', 'Combine the chocolate crumbs, sugar, and butter in a mixture. Then, transfer the mixture to a pie pan. Use the back of a spoon to press the mixture against the bottom and the sides. Bake for five minutes, then leave to chill in the refrigerator.', 'To a separate bowl, add gelatin, half of the sugar, and salt, stir in the water, and incorporate the egg yolks one by one.', 'Place the bowl over a pan of boiling water, making sure it does not touch the water, then start to stir constantly for four to five minutes until the mixture turns slightly thick and the gelatin has dissolved.', 'Remove the bowl from the pan and pour in the crème de menthe together with crème de cacao, then stir to incorporate and chill the mixture.', 'Separately beat the egg whites until stiff, add the remaining sugar in batches, and continue beating until the meringue becomes very stiff.', 'First, fold the meringue into the gelatin and egg yolk mixture, then the whipped cream. Finally, pour the prepared filling into the chilled crumble pie crust.', 'Chill for a few hours until firm, then garnish with either chocolate, whipped cream, or cookie crumbs.']",https://www.tasteatlas.com/grasshopper-pie/recipe,-
Enginar Dolmasi,-,"Turkiye, Asia",4.3,"['6 large Urla sakız bell artichokes', '2 lemons', '15g (½ oz) all-purpose flour', '6 scallions, finely chopped', '1 bunch dill, finely chopped', '6 sprigs fresh mint, finely chopped', '90g (3 oz) white rice', '1 tsp salt', '½ tsp black pepper', '1 tsp sugar', '120 ml (1/2 cup) olive oil', '250 ml (1 cup + 1 tbsp) water']",6,40min,30min,30min,1h 40min,TasteAtlas,"['Cut the tops off the artichokes 2/3 down from the top with a sharp knife. Then, remove the stem at the base under the leaves.', 'Remove and discard the tough outer leaves. Open the center of the artichokes, scoop out, and discard the fuzzy part.', 'Rub the artichokes with lemon and place in a bowl with water, lemon juice, and flour.', 'Mix the scallions, dill, mint, rice, 1⁄2 teaspoon salt, black pepper, and sugar in a bowl.', 'Remove the artichokes from the water and stuff the centers with the filling.', 'Place the artichokes in a saucepan and add 75 ml (5 tbsp) olive oil, the juice of 1⁄2 lemon, 1⁄2 teaspoon salt, and water. Simmer over medium heat for 30 minutes.', 'Remove from the heat, pour the remaining olive oil over the artichokes, and serve lukewarm.']",https://www.tasteatlas.com/enginar-dolmasi/recipe,-
Ballokume Elbasani,"Made with only cornflour, butter, sugar, and eggs, ballokume Elbasani is a simple cookie traditionally prepared for Dita e Verës, an Albanian national holiday celebrated annually on the 14th of March. The preparation, which is quite lengthy as its all done by hand only, is done in a copper bowl and with the help of a wooden spoon, which is the traditional way of doing it that ensures that the dough is as silky and smooth as possible. First, the butter and sugar are mixed by hand until pale and doubled in volume, and then, eggs are added one by one and mixed in after each addition. Lastly, the cornflour is added in batches, and the resulting mass is portioned out using a spoon and arranged on a baking tray. The cookies are baked at a medium temperature. Optionally, the cookies can also contain finj, which is water boiled with ashes from the wood oven. Common recipe variations include adding milk or substituting a portion of the cornflour with wheat flour.","Elbasan, Albania",4.7,"['750g cornflour', '750g (3 3/4 cups) sugar', '375g butter', '6 eggs', '1/2 coffee cup finj']",24,2h 10min,20min,-,2h 30min,TasteAtlas,"['Melt butter over low heat.', 'Then, while the butter is warm, add the sugar to the butter and stir for 90 minutes until pale and doubled in volume.', 'Now, add the eggs one by one, blending each one in after each addition.', 'Stir in the finj, or optionally milk, in the same amount.', 'Stir in the finj, or optionally milk, in the same amount.', 'Scoop the cookies with a spoon and drop them onto a greased or a baking paper lined baking tray.', 'Bake in a 180°C oven for 20 minutes.']",https://www.tasteatlas.com/ballokume/recipe,-
Surόwka With Sauerkraut,"A popular accompaniment to various savory dishes, surόwka is a salad which takes minutes to make, since it is prepared with raw ingredients. In the simplest version, fresh fruits and vegetables are grated coarsely, drizzled with lemon juice and seasoned with salt, pepper, olive oil, and sugar. Alternatively, the dressing can be made with mayonnaise and yogurt, or sour cream. The most popular varieties are surόwka z marchiewki i jabłka (with carrots and apples) and surόwka z białej kapusty (with white cabbage). There are numerous alternatives which include onion, celery, leeks, pears, radish, cucumbers, horseradish, beet and even sauerkraut. Although surόwka is referred to as a salad, it should not be confused with another group of Polish dishes — sałatki. The main difference is that surόwki are made with only raw fruit and vegetables, while sałatki can include cooked ingredients such as eggs, meat, and seafood.","Poland, Europe",4.3,"['500 g sauerkraut', '2 sweet apples', '2 carrots', '1 onion', '50 ml olive oil', '150 ml apple or carrot juice (optional)', 'ground black pepper', '1 tbsp sugar, honey or sweetener']",6,10min,-,-,10min,TasteAtlas,"['Chop the sauerkraut into small pieces. If it is too dry, add apple or carrot juice.', 'Peel and grate the apples and carrots.', 'Cut the onion into cubes.', 'Place the vegetables into a salad bowl and season with olive oil, pepper, and sugar.', 'Mix well and serve.']",https://www.tasteatlas.com/surowka/recipe,-
