title,description,cuisine,rating,ingredient_list,serving,prep_time,cook_time,source,steps,recipe_url,image_url,kcal,fat,saturates,carbs,sugars,fibre,protein,salt
Melting-middle aubergine parcels,Cater for vegetarians in fine fashion with these barbecue-friendly parcels filled with mozzarella and dressed with pesto sauce,,,"['', '', '', '', '', '', '', '', '', '']",Makes 8,,,BBC Food,"['To make the dressing, blitz all the ingredients, except the oil, in a food processor; then, with the motor still running, drizzle in the oil. Tip into a bowl and set aside.', 'Trim off either end of the aubergines and discard. Slice the aubergines lengthways into 16 slices in total. Over a barbecue (or on a hot griddle pan), heavily mark the aubergine slices on each side to soften, then lift into a dish, drizzle with a little olive oil and season.', 'Working methodically, make little stacks of a mozzarella slice, tomato slice and basil leaf. Wrap each stack in a grilled aubergine slice, then wrap a second slice in the other direction to try to cover the gaps and make a little bundle. Secure each parcel with a couple of cocktail sticks. Can be kept in the fridge overnight.', 'Place the parcels on the barbecue and continue to char on each side until the cheese just starts to ooze out. Lift onto a platter, drizzle with the pesto dressing and serve. See time saving tip, below left.']",https://www.bbcgoodfood.com/recipes/melting-middle-aubergine-parcels,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/aubergine-74aad06.jpg?quality=90&resize=440,400",,,,,,,,
Chorizo & broad bean risotto,Fuse Spanish paprika flavoured sausage with Italian rice to create a simple yet indulgent dish with a bit of spice,,36 ratings,"['1 tbsp olive oil', '100g smoked bacon, diced', '2 shallots, chopped', '2 garlic cloves, crushed', '350g small cooking chorizo', '300g risotto rice', '1l hot chicken stock', '300g frozen broad beans']",Serves 4,10 mins,30 mins,BBC Food,"['Heat the oil in a medium-sized pan, then add the bacon, shallots, garlic and chorizo. Gently cook for 8 mins, stirring occasionally so everything cooks evenly.', 'Stir in the rice, coating all over with the cooking juices in the pan. Add just enough stock to cover the rice, bring to a simmer and gently cook until all the liquid is absorbed. Continue adding the stock a ladleful at a time, and gently cook. Just before the final ladleful of stock, add the broad beans and stir through, cooking for 3-4 mins until tender. Remove the chorizo, slice thinly, return to the pan and mix through before serving.']",https://www.bbcgoodfood.com/recipes/chorizo-broad-bean-risotto,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-804452_11-7ac9e50.jpg?quality=90&resize=440,400",830,45g,17g,71g,830,45g,17g,71g
Coconut lamb & pistachio rice salad,"This lamb and green chilli winter salad is warming and fragrant, with coconut, pistachio and coriander. It can be plated up in 20 minutes flat",,5 ratings,"['100g pistachios roughly chopped', '40g coconut flakes', '2 x 250g pouches microwave coconut rice', 'small pack coriander, leaves and stalks roughly chopped', '2 small packs mint, leaves picked', '2 limes, zested and juiced', '4 tbsp olive oil', '4 tbsp korma paste', '4 lamb leg steaks', '1 green chilli, finely sliced']",Serves 4,10 mins,10 mins,BBC Food,"['Heat a large frying pan over a medium heat. Add the pistachios and coconut, and toast for 3 mins until the coconut is golden. Cook the rice following pack instructions. Mix the rice with two-thirds of the pistachios and coconut, then season. Whizz the coriander, mint, lime zest and juice, and olive oil in a small food processor or with a hand blender until smooth. Season, then add half to the rice salad, keeping the rest for drizzling.', 'Heat the grill to high. Brush the korma paste over each side of the lamb steaks, then season. Put the steaks on a lined baking tray and grill on each side for 3 mins so they are still slightly pink in the centre. Cut each steak into thin slices.', 'Spread the rice salad on a large serving dish and top with the sliced lamb. Drizzle over the remaining dressing and sprinkle with the remaining pistachio and coconut flakes. Finish with slices of chilli.']",https://www.bbcgoodfood.com/recipes/coconut-lamb-pistachio-rice-salad,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/rice-salad-ee84ed1.jpg?quality=90&resize=440,400",780,52g,17g,34g,780,52g,17g,34g
Italian vegetable soup,"Warm up your week with this nourishing healthy vegetable soup that's packed with veggies and pasta, and easy to freeze ahead",,144 ratings,"['2 each of onions and carrots, chopped', '4 sticks celery, chopped', '1 tbsp olive oil', '2 tbsp sugar', '4 garlic cloves, crushed', '2 tbsp tomato purée', '2 bay leaves', 'few sprigs thyme', '3 courgettes, chopped', '400g can butter beans, drained', '400g can chopped tomatoes', '1.2l vegetable stock', '100g parmesan or vegetarian equivalent, grated', '140g small pasta shapes', 'small bunch basil, shredded']",Serves 8,15 mins,55 mins,BBC Food,"['Gently cook the onion, carrots and celery in the oil in a large saucepan for 20 mins, until soft. Splash in water if they stick. Add the sugar, garlic, purée, herbs and courgettes and cook for 4-5 mins on a medium heat until they brown a little.', 'Pour in the beans, tomatoes and stock, then simmer for 20 mins. If you’re freezing it, cool and do so now (freeze for up to three months). If not, add half the Parmesan and the pasta and simmer for 6-8 mins until pasta cooked. Sprinkle with basil and remaining Parmesan to serve. If frozen, defrost then re-heat before adding pasta and cheese and continuing as above.']",https://www.bbcgoodfood.com/recipes/italian-vegetable-soup,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1168468_11-4bb5726.jpg?quality=90&resize=440,400",215,6g,3g,30g,215,6g,3g,30g
Lamb's liver & mash,"A classic British dish that makes the most of hearty, often-overlooked offal. Top your creamy mash with slices of melt-in-the-mouth lamb's liver and herb butter",,1 rating,"['3 large baking potatoes', '½ tsp olive oil', '150ml whole milk', '1 tbsp butter', 'pinch of freshly grated nutmeg', '100g butter, softened', '½ tbsp chopped parsley', '1 tbsp plain flour', ""200g lamb's liver, trimmed and cut into 2 pieces (approx 1cm thick)"", '1-2 tbsp sunflower oil', 'small handful of mini silverskin pickled onions', '2 garlic cloves, very finely chopped']",Serves 2,30 mins,1 hr and 50 mins,BBC Food,"['Heat oven to 200C/180C/gas 6. Prick the potatoes all over with a fork, rub with oil and bake directly on the oven shelf for 1 hr 20 mins. Once cooked, leave for 10-15 mins or until cool enough to handle, then slice in half, scoop out the potato flesh and push it through a potato ricer or colander. Cover until needed. (I like to keep the potato skins for another day and stuff them with leftover mash, softened leeks and cheese, and bake until golden and bubbling.)', 'Mix the herb butter ingredients together, spread out into a rough log shape on a piece of baking parchment, roll up and twist the ends tightly so it resembles a cracker. Put in the freezer for 10-15 mins to firm up.', 'Heat the milk and butter for the mash in a saucepan until the butter has melted and the mixture starts to simmer. Pour this over the potato flesh, mash it and sprinkle over the nutmeg and some seasoning. Keep warm or reheat when serving.', 'Heat a large, non-stick pan over a medium-high heat. Season the flour with pepper, then use it to very lightly dust the liver. Pour the oil into the hot pan, season the liver well with sea salt, then fry for no more than 2 mins each side. Transfer to a plate and cover with foil.', 'Turn down the heat, but while the oil’s still hot, add the pickled onions. As the onions start to caramelise, put them on the plate with the liver. Add the garlic to the pan, which by now should be sufficiently cooled enough not to burn it. Add a little oil to the pan if it looks dry. Once the garlic is starting to soften but not coloured at all, add 4-5 thin slices of the parsley butter and some of the resting juices from the liver plate. Turn off the heat and allow the butter to melt but not colour.', 'Heap your mash onto two plates, top with the liver, sliced if you like, and the onions. Then generously drizzle over the herb butter. Serve with a crisp, mustardy salad.']",https://www.bbcgoodfood.com/recipes/liver-mash,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/liver-mash-b8f2273.jpg?quality=90&resize=440,400",914,65g,35g,50g,914,65g,35g,50g
Feta-crusted lamb with rich tomato sauce,"As the lamb roasts, little nuggets of feta from the crust melt into the gutsy, tomatoey, garlicky sauce",,23 ratings,"['7-or 8-bone rack of lamb, trimmed of fat, then cut into two racks', 'few thyme sprigs, left whole, plus extra sprigs to serve', '1 tbsp extra-virgin olive oil, plus extra for frying and drizzling', 'zest ½ lemon', '2 garlic cloves, crushed', '1 tsp dried oregano', '20g pack flat-leaf parsley', '1 fat or 2 regular garlic cloves, crushed', '400g can cherry tomatoes', '50g feta cheese, finely crumbled', 'zest ½ lemon', 'pinch dried oregano', '½ slice white bread (use day-old if you can), whizzed into crumbs']",Serves 2,20 mins,30 mins,BBC Food,"['Marinate the lamb first. Put the racks into a non-metallic dish and mix the thyme, oil, lemon zest, garlic and half the oregano in a bowl. Rub this all over the lamb, then leave to marinate for at least 30 mins or up to 24 hrs. It’s important that you cook the lamb from room temperature rather than fridge cold, so if you’re cooking within 1 hr or so, leave it out of the fridge.', 'For the sauce, finely chop the parsley stalks. Heat a large ovenproof frying pan or wide casserole, then add 1 tbsp olive oil. Add the garlic and the stalks, then soften for 1 min. Add the tomatoes and remaining oregano, then simmer for 5 mins until saucy, popping the cherry tomatoes with your wooden spoon to release all the juices and seeds. Chop the parsley leaves roughly and add half to the pan. Heat oven to 230C/fan 210C/ gas 8. Make the crust by mixing the remaining parsley leaves, feta, zest, oregano and breadcrumbs in a bowl.', 'When you’re ready to cook the lamb, leave most of the tasty marinade on the meat, season it well with salt and freshly ground pepper, then press the crust onto one side of each piece. Sit the racks in the sauce, with the crust-side facing upwards. Strew the thyme sprigs from the marinade over the lamb and into the sauce, then drizzle everything with a little extra virgin olive oil. Roast the lamb in the sauce, uncovered, for 20 mins (for pink and juicy meat) until the crust is golden and the sauce thickened. Leave to rest for 10 mins, loosely covered, so that the crust doesn’t go soggy, then carve the lamb between each bone to make cutlets. Serve the crusted cutlets with spoonfuls of the intense, roasted-down tomato sauce, and the Easy buttered onion pilaf and Lemony greens (recipes below). Garnish with thyme.']",https://www.bbcgoodfood.com/recipes/feta-crusted-lamb-rich-tomato-sauce,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-23004_11-92e684d.jpg?quality=90&resize=440,400",582,48g,18g,12g,582,48g,18g,12g
Salted caramel popcorn pots,"Sweet and salty, this decadent dessert is served in individual pots, with a caramel puddle at the base and a creamy panna cotta topping",,13 ratings,"['400ml double cream', '200ml milk', '140g toffee popcorn, plus a little to serve', '2 gelatine leaves', '4 tbsp caramel from a can', '¼-½ tsp flaky sea salt']",Serves 2,10 mins,15 mins,BBC Food,"['Pour the cream and milk into a large pan, add the popcorn and bring to a gentle simmer, pushing the popcorn under the liquid and squashing gently on the bottom of the pan. Bubble for 1 min, then remove from the heat, transfer to a jug and chill for at least 6 hrs, or preferably overnight.', 'Strain the popcorn cream back into a clean pan and gently reheat, discarding the remaining bits of popcorn. Meanwhile, place the gelatine leaves in cold water to soften for 3-5 mins. When the popcorn cream is steaming and the gelatine is soft, remove it from the water and squeeze out any excess drops. Place in the hot popcorn cream and stir until dissolved. Set aside to cool a little.', 'Mix the caramel with the sea salt – start with 1/4 tsp, taste, then add more if you think it needs it. Divide the salted caramel between 2 glasses or pots. Pour the popcorn cream on top and chill for at least 2 hrs, or overnight.', 'Serve each pot topped with a few pieces of toffee popcorn and dive in!']",https://www.bbcgoodfood.com/recipes/salted-caramel-popcorn-pots,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/salted-caramel-popcorn-pots-595d9a5.jpg?quality=90&resize=440,400",1446,118g,72g,82g,1446,118g,72g,82g
High protein breakfast,"A protein-packed version of a classic fry-up from Joe Wicks. Pile on the steak, mushrooms and spinach for a hearty, filling start to the day",,8 ratings,"['15ml olive oil', '130g tomatoes, halved', '4 rashers turkey bacon', '180g sirloin steak, trimmed of visible fat', '150g mushrooms, sliced', '160g spinach', '1 egg']",Serves 1,5 mins,20 mins,BBC Food,"['Heat grill to high. Drizzle a little of the oil on your tomatoes and season well. Lay the tomatoes on a baking tray lined with foil and place under the grill. Cook for 4-5 mins, then add the bacon to the tray. Turn the bacon as necessary until it is cooked through. Turn off the grill and shut the door to keep everything warm.', 'Meanwhile, heat the remaining oil in a large, non-stick frying pan over a high heat. Season your steak well and, when the pan is very hot, fry for 3-4 mins each side for medium-rare, then leave it to rest until you are ready to eat.', 'While the steak is resting, throw the mushrooms into the still-hot pan, fry for 2-3 mins until browned, then move to one side of the pan. Add the spinach to the other side of the pan and cook until wilted. Put a saucepan of water on to boil.', 'Crack the egg into the boiling water, then reduce the heat until the water is gently simmering. Poach the egg for 3-4 mins or until the white has set but the yolk is still runny. Carefully lift it out with a slotted spoon and drain on kitchen paper. Serve everything together and top with the poached egg.']",https://www.bbcgoodfood.com/recipes/high-protein-breakfast,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/fry-up-e377f9d.jpg?quality=90&resize=440,400",686,34g,9g,5g,686,34g,9g,5g
Pasta alla norma,"Try this easy version of an alla norma, which uses roast aubergine instead of fried. It's then tossed with spaghetti and a rich tomato and basil sauce",,10 ratings,"['2 aubergines, cut into 3cm chunks', '1 heaped tsp salt', '4 tbsp extra virgin olive oil', '1 small onion, finely chopped', '2 garlic cloves, crushed', 'pinch chilli flakes', '2 x 400g tins chopped tomatoes', '1 tsp sugar', '350g spaghetti (egg-free, if needed)', 'small bunch basil, shredded, plus a few leaves to serve', '1 heaped tbsp capers', 'ricotta salata or parmesan, finely grated, to serve (optional)']",Serves 4,10 mins,1 hr,BBC Food,"['Toss the aubergines with the salt, then tip into a colander set over a bowl for 30 mins, to extract any moisture.', 'Heat 2 tbsp of the oil in a casserole dish or saucepan. Tip in the onion and a pinch of salt, and cook over a low heat for 10 mins. Add the garlic and chilli, and cook for 1 min. Tip in the tomatoes and sugar, and bring to the simmer. Cook, uncovered, for 20 mins, stirring occasionally. Heat the oven to 220C/200C fan/gas 7.', 'Pat the aubergine dry with kitchen paper, then toss with the remaining oil. Spread out on a baking sheet and roast for 25-30 mins until softened and golden around the edges. Meanwhile, cook the pasta following pack instructions, reserving 100ml of the cooking water.', 'Stir the aubergine into the sauce with the basil and capers. Season to taste, then toss the spaghetti in the pan with the sauce and a splash of the pasta water. Divide between four bowls and top with the ricotta and extra basil, if using.']",https://www.bbcgoodfood.com/recipes/pasta-alla-norma,"https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Pasta-Alla-Norma-f189a02.jpg?quality=90&resize=556,505",517,13g,2g,79g,517,13g,2g,79g
"Spiced squash, feta & beetroot wellington","Make a veggie wellington with squash, beetroot and feta, all encased in puff pastry, as a showstopping main for Christmas",,4 ratings,"['1 large butternut squash (about 1kg), peeled and trimmed (see tip below)', '10 sage leaves', '2 tbsp olive oil', '½ tsp ground mixed spice', '½ tsp ground mace', '4 large shallots, thickly sliced', '1 tbsp maple syrup', '1 tbsp red wine vinegar', '75g pecans, roughly chopped', '25g dried cranberries, roughly chopped', '400g cooked beetroot, roughly chopped', '200g feta, crumbled', '500g all-butter puff pastry', 'plain flour, for dusting', '1 egg, beaten, to glaze', '1 tsp nigella seeds', '25g butter']",Serves 6 - 8,50 mins,1 hr and 30 mins,BBC Food,"['Heat the oven to 200C/180C fan/ gas 6. Cut the squash in half lengthways, scoop out the seeds and set aside. Continue to scrape down the centre of both squash halves to carve out a roughly 2cm deep channel. If it’s tough, you can score with a knife and scoop out. Roughly chop the scooped-out squash and add to the seeds. Finely chop half the sage leaves. Pour the oil into a large roasting tin and stir in the chopped sage, mixed spice, mace and some seasoning. Tip the reserved seeds, chopped squash, squash halves and shallots into the tin and toss well. Roast for 30 mins until the squash and shallots are caramelised. Add the maple syrup, vinegar and pecans, and roast for 15 mins more until the nuts are toasted. Stir through the cranberries and leave to cool. Season well and set aside. Can be made up to a day ahead and chilled.', 'Meanwhile, tip the beetroot and feta into a food processor. Blitz to a smooth, thick paste, adding a splash of water if needed. Season with black pepper and chill. Can be made up to a day ahead and kept chilled.', 'Cut about a third of the pastry off and roll out on a lightly floured surface to an oval of about 25 x 16cm, making sure it fits the squash – roll it out a little more if needed. Transfer to a baking sheet lined with baking parchment. Spread a third of the beetroot mixture over the pastry, leaving a generous border. Pack the squash and shallot mixture into the cavities of the squash halves, and press down with your hands to ensure it’s well packed. Sandwich the squash halves together, then put in the middle of the pastry. Spread the remaining beetroot mixture over the top and sides of the squash so it’s completely covered. Brush the exposed pastry with beaten egg.', 'Roll out the second piece of pastry into an oval larger than the base, about 40 x 30cm. Lay the pastry carefully over the beetroot-covered squash, pressing down the edges lightly to seal, making sure you work from one end to the next so you don’t seal in too much air. Trim any excess pastry and, using a fork, press down all around the edges to seal. Cut any trimmings into leaf or star shapes to decorate the top, if you like. Brush beaten egg all over the wellington, top with the pastry decorations, if using, and brush with egg again. Sprinkle over the nigella seeds and a pinch of sea salt flakes', 'Chill, uncovered, for at least 30 mins, or up to 2 hrs. Heat the oven to 200C/180C fan/gas 6 with a baking tray inside to heat up. Carefully slide the wellington onto the tray. Cook for 40-45 mins until deeply golden. Leave to rest for 10 mins. You can freeze the wellington, uncovered, on a baking tray until solid, then wrap in cling film, then foil. Will keep frozen for two months.', 'While the wellington is resting, melt the butter in a pan over amedium-high heat. Once it starts to foam, add the remaining sage leaves and fry on each side for 30 seconds1 min until crisp. Arrange the leaves on the wellington and spoon over the melted butter. Cut into thick slices.']",https://www.bbcgoodfood.com/recipes/spiced-squash-feta-beetroot-wellington,"https://images.immediate.co.uk/production/volatile/sites/30/2023/10/squash-and-blue-cheese-wellington-a06c470.jpg?quality=90&resize=556,505",519,34g,14g,38g,519,34g,14g,38g
Chilli oysters,"Bring the heat with our simple oyster starter. Top your seafood with fresh ginger, chilli and a squeeze of lime for a fiery pre-dinner treat",,0 ratings,"['3 coriander sprigs, finely chopped', '1 red chilli, deseeded and chopped', '1 tsp sushi ginger, finely chopped', '½ tsp lime juice', '6 freshly shucked oysters']",(3 oysters each),5 mins,-,BBC Food,"['Combine the coriander, chilli, ginger and lime juice, then spoon the mixture over the freshly shucked oysters to serve.']",https://www.bbcgoodfood.com/recipes/chilli-oysters,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/japanese-oyster-18e770f.jpg?quality=90&resize=556,505",27,1g,0.1g,0.4g,27,1g,0.1g,0.4g
One-pan fish & chips,"Save on the washing-up with our one-pan fish and chips served with long-stem broccoli. The recipe serves two, but you could easily double it",,2 ratings,"['50g fresh white breadcrumbs', '3 tbsp olive oil', '300g potatoes (such as Maris Piper), cut into wedges', '3 anchovy fillets in oil from a jar, drained and finely chopped', '1 tsp dried mixed herbs', '1 tsp garlic granules', '200g long-stem broccoli', '300g white fish fillets, skinless and boneless', 'tartare sauce, to serve (optional)']",Serves 2,10 mins,45 mins,BBC Food,"['Heat the oven to 200C/180C fan/gas 6 with a large roasting tin filled with the breadcrumbs inside. When golden (about 5 mins), tip into a bowl and set aside. Drizzle 2 tbsp of the oil into the tin, add the potatoes, season and toss to coat. Spread them out in an even layer and roast for 25 mins.', 'Meanwhile, mix the breadcrumbs with the anchovies, herbs and garlic granules. Toss the broccoli with the remaining oil and season.', 'Once the potatoes have had 25mins, scatter over the broccoli. Cook for a further 5 mins, then nestle in the fish. Top with the breadcrumbs. Return to the oven for 8-10 mins until the fish is cooked through and golden. Serve with tartare sauce, if you like.']",https://www.bbcgoodfood.com/recipes/one-pan-fish-chips,"https://images.immediate.co.uk/production/volatile/sites/30/2022/09/Fish-and-Chips-3916d22.jpg?quality=90&resize=556,505",480,19g,3g,39g,480,19g,3g,39g
Chocolate & orange vertical layer cake,"This sensational striped sponge requires careful assembly, but it's well worth the time and effort. Follow our steps for the perfect fudgy chocolate gateau.",,4 ratings,"['flavourless oil, such as sunflower, for greasing', 'icing sugar, for dusting', '40g butter', '3 large eggs, separated into yolks and whites', '75ml whole milk', '½ tsp vanilla extract', '30g plain flour', '30g cocoa powder', '75g golden caster sugar', '40g butter', '3 large eggs, separated into yolks and whites', 'zest and juice 1 orange', 'splash of milk (if needed)', '½ tsp vanilla extract', '80g plain flour', '75g golden caster sugar', '350g unsalted butter, at room temp', '600g icing sugar, sifted', 'zest and juice 2 oranges, at room temp', '100g butter', '200g icing sugar', '100g cocoa', '100g dark chocolate, chopped', '200ml double cream', '1 tsp vanilla extract']",Cuts into 18 slices,5 hrs,-,BBC Food,"['Making the sponges: Heat oven to 180C/160C fan/gas 4. You’ll need to make 3 rectangular chocolate sponges, a pair of round chocolate sponges, and 3 rectangular orange sponges to assemble this cake, so get everything organised first. Take a look at our Guide and the additional tips, in the Tip box below.', 'For every rectangular sponge, you’ll need to line the base of a 21 x 31cm tin (see Guide in the Tips below and Related guides box, right) neatly with baking parchment and grease the sides with a little flavourless oil.', 'Start with the chocolate sponges. Put the butter in a small saucepan and heat gently until melted. Whisk together the egg yolks, milk and vanilla extract in a small bowl. Stir the flour and cocoa into the melted butter to make a paste. Transfer this butter-flour mixture to a big mixing bowl and whisk in the egg mixture a little at a time – this takes elbow grease to get it smooth, but keep going!', 'Put the egg whites in a bowl and beat with an electric whisk until stiff. Add the sugar and continue beating until the mixture is glossy and thick. Whisk a third of the meringue mixture into the chocolate mixture to loosen, then use a big metal spoon to gently fold the remaining meringue into the batter until just incorporated. Spread the batter evenly in the tin. Bake for 12 mins.', 'Turn the cake out of the tin onto baking parchment very lightly dusted with icing sugar. Peel off the cake lining parchment and cover with a clean tea towel.', 'Repeat steps 2 to 5 twice more. When the third rectangular sponge is baked, turn out as before but very loosely roll up the sponge like a Swiss roll, starting from one of the shortest sides, rolling up the tea towel inside.', 'Make a final, fourth batch of the chocolate sponge recipe, but this time divide it between 2 x 20cm round, shallow sandwich tins. Bake for 10 mins, then turn out as instructed in step 5.', 'Now make the orange sponges. Follow steps 3 to 6 again, but instead of milk, measure 75ml of the juice from the orange you’ve zested. If you don’t have enough, make up the difference with milk. Whisk in the zest.', 'Cool all the sponges.', 'Making the frosting and icing: For the orange frosting, beat together the butter, icing sugar, orange zest and juice. Beat until just combined – the acidity of the orange may start to split the mixture if overbeaten. If it looks a little split though, don’t worry – just stop mixing, it’ll still taste lovely. Can be kept in the fridge for up to 3 days, but will need bringing back to room temp to use.', 'When you are about to start assembling, put all the chocolate icing ingredients in a heatproof bowl over a pan of barely simmering water. Gently melt together, stirring occasionally, until smooth and shiny.', 'Assembling the cake: Cut each rectangular sponge into 2 long strips 7cm wide – trimming the long edges off will give you a neater finish (see step A in the Guide). It’s important to be really accurate, so use a ruler. Trim the short edges to neaten. When you prepare the rolled-up sponges, just gently unroll first – don’t worry if they crack a bit.', 'Spread a thin layer of orange frosting over every strip, right to the edges. Gently peel the strips away from their paper – they will have stuck a bit. Start with 1 chocolate and 1 orange strip that was rolled up to cool, and lay one on top of the other – but don’t line up the ends. Sit the second sponge about an inch down from one of the ends of the bottom sponge (it doesn’t matter which is chocolate and which is orange). Start to roll up from this end – the bottom sponge should roll up and over neatly on top of the second, so the middle of the roll is nice and tight (see step A in the Guide).', 'Keep adding extra sponges and rolling up to make a giant Swiss roll but as you roll, the ends of each different-coloured layer won’t finish together (and this difference increases as the roll gets bigger). So you’ll need to add chocolate and orange sponges individually from now on, rather than sandwiching together first, then adding to the rolled cake. Where each strip ends, you’ll stick on a matching sponge – so a chocolate strip always continues with another chocolate, and the same with orange (see steps C & D in the Guide). This is the fiddly bit, as you’ll find you’ll need to partly stick on 1 coloured strip, then snuggle in the other coloured strip partway through. (This sounds more complicated than it is. When you start to do it, this will all make sense.) If you have a spare pair of hands in the house, this is the time to use them.', 'It’s up to you whether you find it easier to work as a roll (see step E in the Guide), or to turn the roll on one of its flat ends to work with (see step F in the Guide). I started rolling, and just as it got towards the ends and was getting quite heavy and bulky, I flipped it to continue. Have the round sponges to hand as you near the end, to check whether you’ve reached a roll of 20cm diameter plus. As soon as you do, stop – you may have 1 strip of 1 colour left over.', 'Sit the rolled cake on one of its flat ends if you haven’t already. Spread a good layer of orange frosting over the top, then press on 1 of the round chocolate sponges (see step G in the Guide) – line it up to the middle of the roll, rather than one of the edges of the roll. This means you’ll have to take a sharp knife and trim the roll all around, until it is perfectly flush with the round sponge top. Flip the cake upside down onto your serving plate. Spread some more orange frosting over the new top, and add the second round sponge.', 'Gradually spoon on, and spread over, the chocolate icing with a big palette knife. If should still be runny enough to gently run down the sides, giving you a shiny finish (see step H in the Guide).']",https://www.bbcgoodfood.com/recipes/fudgy-chocolate-orange-gateau,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/gateau-148392f.jpg?quality=90&resize=440,400",765,44g,26g,81g,765,44g,26g,81g
Honey roasted fig & almond tart,"Delicious, sweet and fruity pud, great served with cream or ice cream - make the case with bought pastry",,28 ratings,"['500g pack shortcrust pastry at room temperature, thawed if frozen', '8 ripe figs, stalks trimmed', 'finely grated zest and juice of one large juicy orange', '1 tbsp clear honey', '200g softened butter', '200g golden caster sugar', '200g packet ground almonds', '2 medium egg yolks']",Serves 8,1 hr and 45 mins,-,BBC Food,"['Preheat the oven to fan 180C/ conventional 200C/gas 6. Roll out pastry on a lightly floured surface and use to line a shallow loose-bottomed 25cm flan tin. Make sure the pastry comes above the rim – it may shrink in baking and the filling could spill. Chill for 30 minutes.', 'Meanwhile, cut the figs in half lengthways and sit them cut side up on a roasting tray. Mix the orange juice and honey in a bowl, pour over the figs and roast for 10-12 minutes until just soft. Drain off any juice into a saucepan and reserve.', 'Prick the base of the chilled pastry case all over with a fork, then line with greaseproof paper and fill with baking beans. Bake blind for 15 minutes. Remove the paper and beans and bake for a further 5-10 minutes until the pastry is golden. Remove from the oven and reduce the temperature to fan 130C/conventional 150C/ gas 2. Leave the pastry case to cool slightly before filling.', 'Cream butter and sugar in a food processor or with an electric beater until smooth and pale. Tip in the ground almonds and zest and whizz briefly to combine. Add egg yolks and 1 tbsp of the reserved fig juice and whizz again until smooth. Spread evenly over the pastry case.', 'Gently press the figs cut side up into the almond mixture. Bake for 11⁄4 hours or until it’s golden all over (don’t worry if the centre still seems soft – a little gooeyness is good). Leave in the tin for 15 minutes, then remove sides and transfer on its base to a wire rack to cool.', 'Before serving, take the tart off its base and transfer to a flat platter or board. If you have juice left from roasting the figs, bring it to the boil and simmer for 1-2 minutes until sticky and syrupy. Brush this over the figs and serve as soon as possible, while the syrup is still glossy on the figs (it will start to seep through into the filling if you leave it too long).']",https://www.bbcgoodfood.com/recipes/honey-roasted-fig-almond-tart,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-958_12-7db4573.jpg?quality=90&resize=440,400",758,54g,23g,63g,758,54g,23g,63g
Smoked haddock & corn hash,"Somewhere between hash and kedgeree, this easy dish with sweetcorn and eggs makes a perfect brunch or light supper",,4 ratings,"['2 large red potatoes (about 450/1lb), cut into bite-sized chunks (we used Desirée)', '300g piece undyed smoked haddock, skin on', '1 tbsp olive oil', '1 onion, chopped', '1 or 2 sweetcorn cobs', '1 tbsp wholegrain mustard', '1 tsp ground cumin', 'zest 1 lemon, then cut into wedges', '25g pack flat-leaf parsley (or coriander), roughly chopped', '2 very fresh eggs', 'splash of white wine vinegar', 'mango chutney, to serve (optional)']",Serves 2,10 mins,20 mins,BBC Food,"['Put the potatoes in a large pan of salted cold water. Bring to the boil, then simmer for 10 mins until just tender. When ready, lift the potatoes out, then add the fish, skin-side down. Cover the pan and poach the fish gently for 5 mins until just flaking in the middle of the fillet. Drain and set aside. (You’ll use the pan again for the eggs, so don’t wash it yet).', 'Heat the oil in a non-stick frying pan and fry the onion for 5 mins. Shave the kernels from the corn cobs using a sharp knife, then add to the onion and cook for 2 mins.', 'Add the potatoes to the pan, turn up the heat and cook for 5 mins until turning golden here and there. Scrape the bottom of the pan if the potatoes start to stick – any crispy bits are lovely. Add the mustard, cumin and lemon zest, stir for about 1 min more, then season and add lemon juice from half the wedges. Flake in the fish, fold in the parsley, then cover and keep warm.', 'Poach the eggs in water boiled with the splash of vinegar and a pinch of salt. When just cooked with a runny yolk, serve on top of the hash, in bowls, with the rest of the lemon wedges to squeeze over and the chutney on the side.']",https://www.bbcgoodfood.com/recipes/smoked-haddock-corn-hash,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/smoked-haddock-corn-hash-4347bea.jpg?quality=90&resize=440,400",519,15g,3g,50g,519,15g,3g,50g
